basin_code,basin_name,native_richness,exotic_richness,total_richness,latitude,longitude
Segama,Segama,64,1,65,5.533847634,118.757424
Buffalo.River,Buffalo.River,64,9,73,-33.01685751,27.91159526
York.USA,York.USA,63,9,72,37.5032519,-76.79739925
Nicholson.Leichhardt,Nicholson.Leichhardt,63,1,64,-17.560001,139.743056
Kuap,Kuap,63,1,64,1.58556,110.541389
Mamberamo,Mamberamo,63,4,67,-1.661815598,137.3883186
Cai,Cai,63,4,67,12.27244043,109.2084336
Song.Lam,Song.Lam,63,1,64,18.68571784,105.7922036
Budzi,Budzi,63,2,65,-19.89226969,34.75094584
Lobe,Lobe,63,0,63,2.880930292,9.877804705
Mermentau,Mermentau,63,0,63,29.72954676,-93.01543332
Mucuri,Mucuri,62,6,68,-18.10285361,-39.56450796
Novo,Novo,62,2,64,-20.93364401,-40.8177804
Embley,Embley,62,0,62,-12.668832,141.86258
Belait,Belait,62,0,62,4.59013927,114.1956639
Kelani.Ganga,Kelani.Ganga,62,9,71,6.96125,79.85347
Valapattanam,Valapattanam,62,2,64,11.93205966,75.34447433
Kunene,Kunene,62,0,62,-15.71555392,11.90658846
Loubi,Loubi,62,0,62,-4.959154221,11.96223229
Don.Russia,Don.Russia,62,17,79,47.10270421,39.29624626
Mitchell.Queensland,Mitchell.Queensland,62,1,63,-15.648056,141.440276
Periyar,Periyar,62,5,67,10.18284506,76.19914931
Corrientes,Corrientes,61,0,61,-31.51852881,-52.0025338
Hillsborough,Hillsborough,61,5,66,27.90863876,-82.4198299
Mulgrave,Mulgrave,61,2,63,-17.217777,145.970551
Ruianjiang,Ruianjiang,61,4,65,27.73402511,120.6779678
Sondagsrivier,Sondagsrivier,61,5,66,-33.73572277,25.81509272
Rio.Mbridge,Rio.Mbridge,61,0,61,-7.192906299,12.84631706
Kogon,Kogon,61,1,62,10.95223524,-14.78359449
Waccasassa,Waccasassa,60,0,60,29.10803864,-82.79472816
Satilla,Satilla,60,1,61,30.96832368,-81.48243777
Hawkesbury,Hawkesbury,60,6,66,-33.573285,151.289689
Cudgen.creek,Cudgen.creek,60,1,61,-28.256112,153.579162
Santa.Lucia,Santa.Lucia,59,1,60,-34.83126141,-56.4202858
Kalu.Ganga,Kalu.Ganga,59,5,64,6.580418,79.956252
Taehwagang,Taehwagang,59,4,63,35.53278229,129.3737899
Wen.He,Wen.He,59,2,61,37.12740916,119.4596619
Mtata,Mtata,59,4,63,-31.95766639,29.17836406
Nassau,Nassau,59,4,63,30.59747642,-81.46649862
Saint.Marks,Saint.Marks,59,0,59,30.10706208,-84.20915687
San.Jacinto,San.Jacinto,59,0,59,29.71665768,-95.02273446
Murray.Darling,Murray.Darling,59,14,73,-35.574722,139.088058
Sefid,Sefid,58,12,70,37.45321391,49.93642665
Terek,Terek,58,3,61,43.55675647,47.46636762
Daintree,Daintree,58,0,58,-16.29,145.44722
Clarence.Aus,Clarence.Aus,58,2,60,-29.422776,153.363326
Chimjin,Chimjin,58,2,60,34.58905671,126.788951
Gombak,Gombak,58,3,61,3.032930143,101.3720646
Korea.un.3,Korea.un.3,58,1,59,37.44180666,129.2078441
